data,ticker,fechamento_ajustado,EV_EBIT,ROIC,EBIT_EV,valor_de_mercado,year,month
2016-03-31,PNVL3,9.56,17.20118,0.14857,0.05813554651483212,1354601484.0,2016,3
2016-04-29,PNVL3,10.89,18.76816,0.14857,0.05328172820351062,1486423737.0,2016,4
2016-05-31,PNVL3,10.51,16.73234,0.1569,0.059764503948640774,1437637970.0,2016,5
2016-06-30,PNVL3,13.67,21.09977,0.1569,0.04739388154468035,1838917867.0,2016,6
2016-07-29,PNVL3,13.86,21.45673,0.1569,0.04660542403245974,1871715218.0,2016,7
2016-08-31,PNVL3,14.98,22.42349,0.14698,0.04459609097424174,1978078189.0,2016,8
2016-09-30,PNVL3,15.65,22.78626,0.14698,0.04388609627029622,2011506341.0,2016,9
2016-10-31,PNVL3,16.04,24.3097,0.14698,0.04113584289398882,2151886787.0,2016,10
2016-11-30,PNVL3,14.76,22.49545,0.15239,0.04445343391663647,1998492160.0,2016,11
2016-12-29,PNVL3,21.35,31.7228,0.15239,0.03152306858158801,2854596794.0,2016,12
2017-01-31,PNVL3,20.65,30.93441,0.15239,0.03232646105097851,2781451042.0,2017,1
2017-02-24,PNVL3,19.15,28.70065,0.15239,0.03484241646095124,2574204548.0,2017,2
2017-03-31,PNVL3,19.91,29.03264,0.1529,0.03444399131460315,2592523289.0,2017,3
2017-04-28,PNVL3,18.51,27.94405,0.1529,0.035785793397878976,2492822384.0,2017,4
2017-05-31,PNVL3,17.71,25.7313,0.15455,0.03886317442181312,2398492300.0,2017,5
2017-06-30,PNVL3,18.19,25.57712,0.15455,0.03909744333998511,2383681968.0,2017,6
2017-07-28,PNVL3,18.22,26.38534,0.15455,0.03789983377132908,2461318455.0,2017,7
2017-08-31,PNVL3,15.81,23.11568,0.15448,0.04326067846587251,2192679831.0,2017,8
2017-09-29,PNVL3,14.37,21.01409,0.15448,0.04758711892830001,1984303498.0,2017,9
2017-10-27,PNVL3,15.81,23.02851,0.15448,0.043424433452272856,2184037209.0,2017,10
2017-11-30,PNVL3,14.53,22.31522,0.15719,0.044812464318075285,2139022710.0,2017,11
2017-12-28,PNVL3,12.78,18.90238,0.15719,0.052903391001556416,1799001435.0,2017,12
2018-01-31,PNVL3,13.31,19.56626,0.15719,0.051108387601922906,1865143515.0,2018,1
2018-02-28,PNVL3,14.04,20.15132,0.15719,0.0496245407248756,1923433107.0,2018,2
2018-03-29,PNVL3,12.8,20.23358,0.13634,0.04942279122132613,1800799527.0,2018,3
2018-04-27,PNVL3,12.48,19.70459,0.13634,0.050749596921326454,1751115097.0,2018,4
2018-05-30,PNVL3,12.12,20.54799,0.13376,0.04866656057356462,1685765563.0,2018,5
2018-06-25,PNVL3,11.68,19.78531,0.13376,0.0505425489921563,1618256801.0,2018,6
2018-07-31,PNVL3,10.88,19.0817,0.13376,0.05240623214912717,1555976764.0,2018,7
2018-08-31,PNVL3,9.32,16.83926,0.13156,0.05938503235890413,1334819777.0,2018,8
2018-09-28,PNVL3,9.93,17.32561,0.13156,0.057718025512521635,1377270420.0,2018,9
2018-10-30,PNVL3,10.73,18.47271,0.13156,0.0541339088850526,1477392555.0,2018,10
2018-11-30,PNVL3,10.09,16.30578,0.13725,0.06132794628653153,1393967709.0,2018,11
2018-12-28,PNVL3,9.96,16.02591,0.13725,0.06239895269597795,1367619032.0,2018,12
2019-01-31,PNVL3,11.56,17.89897,0.13725,0.05586913660394984,1543958204.0,2019,1
2019-02-27,PNVL3,12.01,18.90413,0.13725,0.05289849360959748,1638588980.0,2019,2
2019-03-29,PNVL3,12.59,16.27163,0.1554,0.06145665799922934,1714465887.0,2019,3
2019-04-15,PNVL3,12.65,16.37316,0.1554,0.061075565132204176,1725798128.0,2019,4
2019-05-31,PNVL3,12.81,17.97326,0.11637,0.0556382092063432,1722849268.0,2019,5
2019-06-26,PNVL3,12.96,18.32806,0.11637,0.05456114831575191,1763981807.0,2019,6
2019-07-31,PNVL3,12.41,17.60562,0.11637,0.05680004453123492,1680227594.0,2019,7
2019-08-27,PNVL3,12.54,17.19271,0.11643,0.05816418703043324,1723035615.0,2019,8
2019-09-30,PNVL3,14.57,19.59943,0.11643,0.051021891963184636,2019273598.0,2019,9
2019-10-30,PNVL3,14.99,19.79963,0.11643,0.05050599430393396,2043916120.0,2019,10
2019-11-22,PNVL3,17.4,21.87637,0.11836,0.045711422873173195,2370850377.0,2019,11
2019-12-27,PNVL3,19.01,23.62766,0.11836,0.04232327704055332,2592952730.0,2019,12
2020-01-30,PNVL3,19.85,24.72717,0.11836,0.04044134448058553,2732395695.0,2020,1
2020-02-28,PNVL3,25.82,31.10218,0.11836,0.03215208708842917,3540886720.0,2020,2
2020-03-31,PNVL3,21.97,27.4375,0.11836,0.03644646924829157,3076125093.0,2020,3
2020-04-30,PNVL3,22.66,29.93718,0.11236,0.03340327980123712,3151610556.0,2020,4
2020-05-29,PNVL3,22.8,29.04019,0.10195,0.03443503640988575,3114369036.0,2020,5
2020-06-30,PNVL3,28.76,35.46063,0.10195,0.02820028860175355,3909014520.0,2020,6
2020-07-31,PNVL3,26.06,33.68538,0.10195,0.029686469322893195,3689295438.0,2020,7
2020-08-31,PNVL3,24.32,38.01894,0.08518,0.02630267966439885,3302734346.0,2020,8
2020-09-30,PNVL3,21.76,34.54307,0.08518,0.028949366689179624,2945891652.0,2020,9
2020-10-30,PNVL3,19.84,32.50722,0.08518,0.030762396784468193,2736884690.0,2020,10
2020-11-30,PNVL3,21.37,37.60257,0.05427,0.026593926957652097,3353026791.0,2020,11
2020-12-30,PNVL3,21.13,36.875,0.05427,0.02711864406779661,3285415390.0,2020,12
2021-01-29,PNVL3,20.86,36.26452,0.05427,0.027575161618022245,3228684016.0,2021,1
2021-02-26,PNVL3,18.27,31.95573,0.05427,0.03129329231408577,2828277082.0,2021,2
2021-03-31,PNVL3,18.7,33.13791,0.05711,0.030176918218439246,2836773066.0,2021,3
2021-04-30,PNVL3,19.2,34.81389,0.05711,0.028724167279209532,2991229653.0,2021,4
2021-05-31,PNVL3,20.11,38.16777,0.05443,0.026200115961713247,3053803940.0,2021,5
2021-06-30,PNVL3,20.79,40.5093,0.05443,0.024685689458963742,3262348173.0,2021,6
2021-07-30,PNVL3,18.66,36.52332,0.05443,0.027379767228170933,2907344633.0,2021,7
2021-08-31,PNVL3,16.59,30.59696,0.05839,0.032682985499212995,2645311593.0,2021,8
2021-09-30,PNVL3,14.4,27.86989,0.05839,0.03588101711201587,2365182352.0,2021,9
2021-10-29,PNVL3,12.65,24.73982,0.05839,0.040420665954724,2043654701.0,2021,10
2021-11-30,PNVL3,12.4,23.97818,0.05825,0.04170458308345337,1965433677.0,2021,11
2021-12-30,PNVL3,13.05,24.34613,0.05825,0.04107428983579731,2003028047.0,2021,12
2022-01-31,PNVL3,13.45,23.56608,0.05825,0.04243387105534735,1923327982.0,2022,1
2022-02-25,PNVL3,12.71,23.84572,0.05825,0.0419362468401038,1951899703.0,2022,2
2022-03-31,PNVL3,13.98,25.62541,0.05625,0.03902376586364862,2120446107.0,2022,3
2022-04-29,PNVL3,11.33,21.95117,0.05625,0.04555565830887374,1747404662.0,2022,4
2022-05-31,PNVL3,11.29,23.25244,0.06169,0.0430062393452042,1750393879.0,2022,5
2022-06-30,PNVL3,9.39,20.04672,0.06169,0.04988347220891996,1422570970.0,2022,6
2022-07-29,PNVL3,10.75,22.2819,0.06169,0.04487947616675418,1651144741.0,2022,7
2022-08-31,PNVL3,12.15,22.45427,0.06465,0.04453495927500649,1884229837.0,2022,8
2022-09-30,PNVL3,11.56,21.40128,0.06465,0.046726177125854154,1760920303.0,2022,9
2022-10-31,PNVL3,12.29,21.99198,0.06465,0.04547112174529078,1830093944.0,2022,10
2022-11-30,PNVL3,10.32,18.18874,0.06843,0.05497906946825344,1572948451.0,2022,11
2022-12-29,PNVL3,10.1,17.80946,0.06843,0.056149933799228044,1524827657.0,2022,12
2023-01-31,PNVL3,10.23,17.79761,0.06843,0.056187319533353076,1523323883.0,2023,1
2023-02-28,PNVL3,10.34,18.31911,0.06843,0.054587804756890485,1589489974.0,2023,2
2023-03-31,PNVL3,9.61,16.10111,0.07334,0.062107519295253565,1496255936.0,2023,3
2023-04-28,PNVL3,10.34,16.57212,0.07334,0.06034230985534741,1560918253.0,2023,4
2023-05-31,PNVL3,11.6,17.17112,0.06833,0.058237319406072525,1747386329.0,2023,5
2023-06-30,PNVL3,12.75,17.79682,0.06833,0.05618981368581578,1840620367.0,2023,6
2023-07-31,PNVL3,13.16,18.72529,0.06833,0.053403712305657214,1978967650.0,2023,7
2023-08-31,PNVL3,12.24,18.18651,0.07144,0.05498581091149429,1893252486.0,2023,8
2023-09-29,PNVL3,11.7,17.28476,0.07144,0.057854433616665785,1759416528.0,2023,9
2023-10-20,PNVL3,10.61,16.39315,0.07144,0.061001088869436323,1627084344.0,2023,10
2011-11-22,PNVL4,2.65,7.81148,0.217,0.12801671386216185,488343687.0,2011,11
2011-12-28,PNVL4,2.99,7.94133,0.217,0.1259234914050921,496281165.0,2011,12
2012-01-30,PNVL4,3.16,9.5477,0.217,0.10473726656681713,594482150.0,2012,1
2012-02-29,PNVL4,3.29,11.0621,0.217,0.0903987488813155,687060415.0,2012,2
2012-03-30,PNVL4,3.29,10.81029,0.19504,0.09250445640218717,633430193.0,2012,3
2012-04-20,PNVL4,3.29,10.66246,0.19504,0.093786987243094,624967672.0,2012,4
2012-05-31,PNVL4,3.26,9.9536,0.19185,0.10046616299630284,587427253.0,2012,5
2012-06-26,PNVL4,3.29,11.28904,0.19185,0.0885814914288549,666454665.0,2012,6
2012-07-26,PNVL4,3.55,11.78625,0.19185,0.08484462827447237,695878156.0,2012,7
2012-08-28,PNVL4,3.71,11.11675,0.18866,0.08995434816830458,687596895.0,2012,8
2012-09-26,PNVL4,4.06,12.88248,0.18866,0.07762480516173904,798542769.0,2012,9
2012-10-31,PNVL4,4.25,13.06129,0.18866,0.07656211599313698,809778086.0,2012,10
